trace_id,user_id,firm_id,feature,timestamp,confidence_score,latency_ms,outcome,retried,escalated_to_human,source_link_clicked
T000001,U0002,F013,workpaper_draft_assistant,2025-11-25 08:47:41,0.71,547,accepted,False,False,True
T000002,U0002,F013,document_qa_assistant,2025-08-17 05:35:03,0.76,818,edited,False,False,False
T000003,U0002,F013,anomaly_flagging,2025-10-31 12:12:00,0.89,1986,accepted,False,False,True
T000004,U0002,F013,document_qa_assistant,2025-12-31 14:14:56,0.99,1810,accepted,False,False,False
T000005,U0002,F013,workpaper_draft_assistant,2026-01-05 15:37:23,0.89,691,accepted,False,False,False
T000006,U0003,F021,risk_summary_generator,2026-06-29 18:21:33,0.84,545,accepted,False,False,True
T000007,U0003,F021,workpaper_draft_assistant,2026-06-20 00:56:00,0.74,527,accepted,False,False,False
T000008,U0004,F023,anomaly_flagging,2025-09-29 02:52:04,0.99,463,accepted,True,False,False
T000009,U0004,F023,variance_explanation,2025-09-06 23:06:00,0.88,1780,accepted,False,False,True
T000010,U0004,F023,risk_summary_generator,2025-07-08 10:48:38,0.97,413,accepted,False,False,False
T000011,U0004,F023,document_qa_assistant,2025-08-17 09:29:01,0.83,1236,accepted,False,False,False
T000012,U0004,F023,workpaper_draft_assistant,2025-05-18 23:14:34,0.9,412,edited,False,False,True
T000013,U0004,F023,risk_summary_generator,2025-06-13 03:53:54,0.64,455,accepted,False,False,True
T000014,U0004,F023,anomaly_flagging,2025-06-01 17:59:41,0.86,1698,edited,False,False,True
T000015,U0004,F023,document_qa_assistant,2025-06-07 17:52:41,0.92,475,accepted,False,False,False
T000016,U0007,F012,variance_explanation,2025-08-30 13:39:45,0.99,541,accepted,False,False,False
T000017,U0007,F012,workpaper_draft_assistant,2025-06-25 06:32:47,0.97,5096,accepted,False,False,False
T000018,U0007,F012,risk_summary_generator,2025-05-23 04:16:02,0.99,1134,edited,False,False,False
T000019,U0007,F012,anomaly_flagging,2025-10-01 00:10:57,0.91,2497,accepted,False,False,False
T000020,U0007,F012,risk_summary_generator,2025-07-03 22:04:04,0.89,1333,accepted,True,False,False
T000021,U0007,F012,risk_summary_generator,2025-06-23 07:52:31,0.95,945,accepted,False,False,True
T000022,U0008,F022,risk_summary_generator,2025-12-27 03:02:17,0.75,451,edited,False,False,True
T000023,U0008,F022,document_qa_assistant,2026-03-04 07:15:14,0.75,1352,rejected,False,False,True
T000024,U0008,F022,workpaper_draft_assistant,2026-03-07 15:52:35,0.99,767,accepted,False,False,True
T000025,U0008,F022,risk_summary_generator,2025-12-15 07:12:16,0.99,740,accepted,False,False,True
T000026,U0008,F022,anomaly_flagging,2026-02-09 03:44:46,0.91,643,accepted,False,False,True
T000027,U0008,F022,risk_summary_generator,2025-12-23 17:45:41,0.84,609,accepted,False,False,False
T000028,U0008,F022,variance_explanation,2026-01-09 11:36:19,0.75,1112,edited,False,False,True
T000029,U0008,F022,variance_explanation,2026-03-26 12:50:57,0.98,917,accepted,False,False,True
T000030,U0008,F022,risk_summary_generator,2025-12-13 01:13:44,0.73,1338,rejected,False,False,False
T000031,U0008,F022,document_qa_assistant,2026-03-16 12:49:30,0.83,629,accepted,False,False,False
T000032,U0008,F022,risk_summary_generator,2026-02-18 06:46:08,0.83,1296,accepted,True,False,False
T000033,U0009,F021,risk_summary_generator,2026-01-06 04:27:10,0.74,1413,accepted,False,False,False
T000034,U0009,F021,workpaper_draft_assistant,2025-12-11 16:56:37,0.99,5496,accepted,False,False,True
T000035,U0009,F021,workpaper_draft_assistant,2025-11-03 14:02:20,0.68,528,accepted,False,False,True
T000036,U0009,F021,workpaper_draft_assistant,2026-03-10 10:07:24,0.99,1578,edited,False,False,False
T000037,U0009,F021,anomaly_flagging,2025-11-06 20:53:48,0.67,873,rejected,False,False,True
T000038,U0009,F021,document_qa_assistant,2026-01-07 07:12:51,0.79,1395,accepted,False,False,False
T000039,U0011,F021,risk_summary_generator,2026-05-29 16:29:07,0.74,596,accepted,False,False,True
T000040,U0011,F021,anomaly_flagging,2026-05-31 14:39:57,0.99,1002,accepted,False,False,False
T000041,U0011,F021,workpaper_draft_assistant,2026-05-02 02:31:43,0.75,1223,accepted,False,False,True
T000042,U0012,F025,anomaly_flagging,2025-11-22 11:24:08,0.77,974,accepted,True,False,True
T000043,U0012,F025,document_qa_assistant,2025-10-27 17:57:42,0.94,870,edited,False,False,True
T000044,U0012,F025,anomaly_flagging,2025-10-06 22:29:59,0.99,663,accepted,False,False,False
T000045,U0012,F025,risk_summary_generator,2025-08-07 03:49:40,0.85,2391,rejected,False,False,True
T000046,U0012,F025,variance_explanation,2025-07-25 06:57:35,0.97,1287,edited,False,False,False
T000047,U0013,F011,risk_summary_generator,2026-02-25 01:54:40,0.83,616,accepted,False,False,True
T000048,U0013,F011,workpaper_draft_assistant,2026-05-12 02:43:55,0.64,413,accepted,False,False,False
T000049,U0013,F011,anomaly_flagging,2026-06-01 09:49:37,0.99,1842,accepted,False,False,False
T000050,U0013,F011,workpaper_draft_assistant,2026-03-26 04:35:52,0.99,678,accepted,False,False,False
T000051,U0013,F011,document_qa_assistant,2026-06-09 23:11:20,0.99,1377,accepted,False,False,False
T000052,U0013,F011,variance_explanation,2026-06-29 10:12:51,0.89,2353,accepted,False,False,True
T000053,U0013,F011,anomaly_flagging,2026-05-02 10:47:08,0.68,2306,accepted,False,False,False
T000054,U0014,F019,risk_summary_generator,2026-06-24 07:52:09,0.82,1684,accepted,False,False,False
T000055,U0017,F018,document_qa_assistant,2026-03-06 23:51:30,0.72,1332,accepted,False,False,False
T000056,U0017,F018,anomaly_flagging,2026-01-05 13:14:23,0.57,637,accepted,False,False,False
T000057,U0017,F018,document_qa_assistant,2025-12-31 14:34:15,0.82,2690,accepted,False,False,True
T000058,U0017,F018,risk_summary_generator,2026-01-27 21:01:00,0.79,816,accepted,False,False,False
T000059,U0017,F018,risk_summary_generator,2025-12-08 08:45:31,0.98,539,accepted,False,False,True
T000060,U0017,F018,document_qa_assistant,2026-03-11 19:19:44,0.72,3217,accepted,False,False,False
T000061,U0017,F018,document_qa_assistant,2025-12-01 12:54:15,0.84,680,accepted,False,False,False
T000062,U0017,F018,document_qa_assistant,2026-03-20 12:09:03,0.84,657,accepted,False,False,True
T000063,U0017,F018,workpaper_draft_assistant,2026-02-15 15:23:09,0.77,1110,accepted,False,False,True
T000064,U0017,F018,anomaly_flagging,2026-01-19 19:16:50,0.99,2161,accepted,False,False,True
T000065,U0017,F018,document_qa_assistant,2025-11-22 23:31:57,0.72,2585,accepted,False,False,True
T000066,U0017,F018,variance_explanation,2025-11-19 20:56:36,0.94,3010,accepted,True,False,True
T000067,U0017,F018,anomaly_flagging,2026-01-06 22:34:53,0.76,1396,edited,False,False,True
T000068,U0018,F019,document_qa_assistant,2025-12-26 18:01:43,0.8,1903,accepted,False,False,True
