event_id,user_id,firm_id,event_type,event_timestamp,session_id
E000001,U0001,F002,login,2026-06-07 18:29:10,SU0001_43
E000002,U0001,F002,export_report,2026-05-29 00:05:36,SU0001_34
E000003,U0001,F002,login,2026-05-31 10:52:12,SU0001_36
E000004,U0001,F002,open_engagement,2026-06-26 05:24:36,SU0001_62
E000005,U0001,F002,login,2026-06-21 19:36:32,SU0001_57
E000006,U0001,F002,upload_workpaper,2026-06-25 12:33:56,SU0001_61
E000007,U0001,F002,login,2026-06-06 20:05:40,SU0001_42
E000008,U0001,F002,export_report,2026-06-12 16:34:42,SU0001_48
E000009,U0001,F002,invite_teammate,2026-06-05 06:52:07,SU0001_41
E000010,U0001,F002,review_workpaper,2026-05-25 20:49:06,SU0001_30
E000011,U0001,F002,login,2026-06-13 08:30:13,SU0001_49
E000012,U0001,F002,export_report,2026-06-16 01:35:20,SU0001_52
E000013,U0001,F002,export_report,2026-06-04 17:13:13,SU0001_40
E000014,U0001,F002,invite_teammate,2026-06-12 14:03:24,SU0001_48
E000015,U0001,F002,upload_workpaper,2026-05-14 18:02:03,SU0001_19
E000016,U0001,F002,export_report,2026-04-29 04:35:47,SU0001_4
E000017,U0001,F002,export_report,2026-06-28 21:29:16,SU0001_64
E000018,U0001,F002,export_report,2026-06-06 03:39:14,SU0001_42
E000019,U0001,F002,export_report,2026-06-20 03:37:49,SU0001_56
E000020,U0001,F002,open_engagement,2026-06-22 00:33:31,SU0001_58
E000021,U0001,F002,open_engagement,2026-05-13 14:55:36,SU0001_18
E000022,U0001,F002,upload_workpaper,2026-05-14 02:43:27,SU0001_19
E000023,U0001,F002,login,2026-06-24 09:38:57,SU0001_60
E000024,U0001,F002,export_report,2026-06-07 22:41:31,SU0001_43
E000025,U0001,F002,invite_teammate,2026-06-14 23:39:35,SU0001_50
E000026,U0001,F002,login,2026-05-05 11:57:45,SU0001_10
E000027,U0001,F002,invite_teammate,2026-06-12 11:31:45,SU0001_48
E000028,U0001,F002,login,2026-06-26 19:41:52,SU0001_62
E000029,U0001,F002,upload_workpaper,2026-04-29 22:28:51,SU0001_4
E000030,U0001,F002,export_report,2026-05-03 08:32:51,SU0001_8
E000031,U0001,F002,export_report,2026-05-31 08:16:57,SU0001_36
E000032,U0001,F002,review_workpaper,2026-05-06 15:48:01,SU0001_11
E000033,U0001,F002,invite_teammate,2026-05-07 23:04:26,SU0001_12
E000034,U0001,F002,login,2026-05-07 16:09:13,SU0001_12
E000035,U0001,F002,login,2026-05-16 10:54:11,SU0001_21
E000036,U0001,F002,open_engagement,2026-04-28 01:40:28,SU0001_3
E000037,U0001,F002,review_workpaper,2026-06-05 02:02:35,SU0001_41
E000038,U0001,F002,open_engagement,2026-06-01 13:03:04,SU0001_37
E000039,U0001,F002,open_engagement,2026-06-11 15:40:50,SU0001_47
E000040,U0001,F002,open_engagement,2026-05-13 08:53:27,SU0001_18
E000041,U0001,F002,invite_teammate,2026-06-16 20:36:17,SU0001_52
E000042,U0001,F002,invite_teammate,2026-05-18 06:11:20,SU0001_23
E000043,U0001,F002,upload_workpaper,2026-05-17 02:52:30,SU0001_22
E000044,U0001,F002,upload_workpaper,2026-06-12 22:33:46,SU0001_48
E000045,U0001,F002,open_engagement,2026-05-25 18:07:10,SU0001_30
E000046,U0001,F002,review_workpaper,2026-05-13 08:27:13,SU0001_18
E000047,U0001,F002,login,2026-06-23 23:13:31,SU0001_59
E000048,U0001,F002,invite_teammate,2026-05-27 16:43:56,SU0001_32
E000049,U0001,F002,review_workpaper,2026-05-27 00:20:31,SU0001_32
E000050,U0001,F002,export_report,2026-06-23 10:28:20,SU0001_59
E000051,U0001,F002,invite_teammate,2026-05-15 02:41:21,SU0001_20
E000052,U0001,F002,invite_teammate,2026-06-20 12:34:53,SU0001_56
E000053,U0001,F002,upload_workpaper,2026-06-02 23:15:46,SU0001_38
E000054,U0001,F002,login,2026-06-18 09:06:20,SU0001_54
E000055,U0001,F002,login,2026-06-22 10:59:59,SU0001_58
E000056,U0001,F002,export_report,2026-05-20 14:00:22,SU0001_25
E000057,U0001,F002,export_report,2026-06-25 03:52:59,SU0001_61
E000058,U0001,F002,invite_teammate,2026-05-25 13:53:06,SU0001_30
E000059,U0001,F002,open_engagement,2026-06-09 20:55:41,SU0001_45
E000060,U0001,F002,upload_workpaper,2026-06-01 10:44:56,SU0001_37
E000061,U0002,F013,invite_teammate,2025-11-03 14:24:39,SU0002_84
E000062,U0002,F013,review_workpaper,2025-09-15 00:17:41,SU0002_35
E000063,U0002,F013,open_engagement,2025-10-22 01:47:08,SU0002_72
E000064,U0002,F013,invite_teammate,2025-12-05 22:04:42,SU0002_116
E000065,U0002,F013,open_engagement,2025-11-14 18:05:07,SU0002_95
E000066,U0003,F021,invite_teammate,2026-06-15 08:22:42,SU0003_18
E000067,U0003,F021,upload_workpaper,2026-06-19 07:58:25,SU0003_22
E000068,U0003,F021,upload_workpaper,2026-06-09 22:36:21,SU0003_12
E000069,U0003,F021,open_engagement,2026-06-13 04:58:47,SU0003_16
E000070,U0003,F021,review_workpaper,2026-06-03 22:50:42,SU0003_6
E000071,U0003,F021,login,2026-05-30 11:14:52,SU0003_2
E000072,U0003,F021,invite_teammate,2026-06-25 01:12:53,SU0003_28
E000073,U0003,F021,login,2026-06-20 04:47:04,SU0003_23
E000074,U0003,F021,review_workpaper,2026-06-02 10:44:40,SU0003_5
E000075,U0003,F021,invite_teammate,2026-06-17 15:07:40,SU0003_20
E000076,U0003,F021,open_engagement,2026-06-08 07:18:38,SU0003_11
E000077,U0003,F021,upload_workpaper,2026-06-05 19:38:21,SU0003_8
E000078,U0003,F021,login,2026-06-20 19:19:39,SU0003_23
E000079,U0003,F021,export_report,2026-06-29 09:55:20,SU0003_32
E000080,U0003,F021,export_report,2026-06-07 09:21:21,SU0003_10
E000081,U0003,F021,review_workpaper,2026-06-27 10:44:44,SU0003_30
E000082,U0003,F021,open_engagement,2026-06-18 04:11:35,SU0003_21
E000083,U0003,F021,login,2026-06-26 02:44:29,SU0003_29
E000084,U0003,F021,open_engagement,2026-06-06 08:12:51,SU0003_9
E000085,U0003,F021,login,2026-06-22 20:17:28,SU0003_25
E000086,U0004,F023,export_report,2025-07-02 00:30:24,SU0004_50
E000087,U0004,F023,open_engagement,2025-06-15 19:32:09,SU0004_33
E000088,U0004,F023,invite_teammate,2025-05-28 16:33:29,SU0004_15
E000089,U0004,F023,export_report,2025-06-29 09:32:42,SU0004_47
E000090,U0004,F023,open_engagement,2025-07-26 13:52:21,SU0004_74
E000091,U0006,F004,upload_workpaper,2026-02-25 03:56:41,SU0006_190
E000092,U0006,F004,upload_workpaper,2025-12-16 17:09:57,SU0006_119
E000093,U0006,F004,upload_workpaper,2025-08-31 22:33:25,SU0006_12
E000094,U0006,F004,upload_workpaper,2026-06-02 11:56:32,SU0006_287
E000095,U0006,F004,login,2026-06-27 08:03:35,SU0006_312
E000096,U0007,F012,upload_workpaper,2026-04-05 16:54:12,SU0007_325
E000097,U0007,F012,invite_teammate,2026-05-08 11:00:08,SU0007_358
E000098,U0007,F012,review_workpaper,2026-04-12 14:51:56,SU0007_332
E000099,U0007,F012,review_workpaper,2025-07-13 05:05:20,SU0007_59
E000100,U0007,F012,login,2025-06-07 01:21:17,SU0007_23
E000101,U0007,F012,upload_workpaper,2025-10-17 17:56:09,SU0007_155
E000102,U0007,F012,upload_workpaper,2025-07-13 03:32:19,SU0007_59
E000103,U0007,F012,upload_workpaper,2025-09-12 19:34:17,SU0007_120
E000104,U0007,F012,export_report,2025-07-23 14:09:00,SU0007_69
E000105,U0007,F012,open_engagement,2026-01-02 13:30:29,SU0007_232
E000106,U0007,F012,export_report,2026-04-23 19:40:04,SU0007_343
E000107,U0007,F012,open_engagement,2025-12-15 21:23:03,SU0007_214
E000108,U0007,F012,upload_workpaper,2026-05-30 05:37:33,SU0007_380
E000109,U0007,F012,upload_workpaper,2025-12-13 23:50:41,SU0007_212
E000110,U0007,F012,export_report,2025-07-04 17:48:59,SU0007_50
E000111,U0007,F012,export_report,2026-03-26 14:51:32,SU0007_315
E000112,U0007,F012,open_engagement,2025-10-05 01:11:28,SU0007_143
E000113,U0007,F012,review_workpaper,2026-05-03 13:29:26,SU0007_353
E000114,U0007,F012,open_engagement,2025-09-03 16:08:35,SU0007_111
E000115,U0007,F012,export_report,2025-12-28 08:35:47,SU0007_227
E000116,U0008,F022,invite_teammate,2025-11-26 13:22:27,SU0008_25
E000117,U0008,F022,login,2026-03-20 23:28:38,SU0008_139
E000118,U0008,F022,export_report,2026-01-31 02:12:16,SU0008_91
E000119,U0008,F022,login,2026-02-10 10:02:40,SU0008_101
E000120,U0008,F022,review_workpaper,2025-12-19 04:26:51,SU0008_48
E000121,U0009,F021,open_engagement,2026-06-07 03:20:15,SU0009_232
E000122,U0009,F021,login,2026-02-03 23:21:49,SU0009_108
E000123,U0009,F021,invite_teammate,2025-10-28 01:50:29,SU0009_10
E000124,U0009,F021,open_engagement,2026-04-06 08:52:05,SU0009_170
E000125,U0009,F021,export_report,2025-12-21 20:33:20,SU0009_64
E000126,U0010,F006,open_engagement,2026-06-13 21:20:58,SU0010_26
E000127,U0010,F006,login,2026-06-14 08:28:59,SU0010_27
E000128,U0010,F006,login,2026-06-29 05:22:20,SU0010_42
E000129,U0011,F021,invite_teammate,2026-05-16 04:43:58,SU0011_18
E000130,U0011,F021,upload_workpaper,2026-05-12 00:56:19,SU0011_14
E000131,U0011,F021,export_report,2026-05-14 00:32:27,SU0011_16
E000132,U0011,F021,login,2026-06-12 08:39:46,SU0011_45
E000133,U0011,F021,open_engagement,2026-04-30 06:20:38,SU0011_2
E000134,U0011,F021,review_workpaper,2026-05-31 01:54:28,SU0011_33
E000135,U0011,F021,login,2026-05-14 15:19:36,SU0011_16
E000136,U0011,F021,login,2026-06-27 16:19:16,SU0011_60
E000137,U0011,F021,upload_workpaper,2026-05-11 16:27:25,SU0011_13
